Designator,Mid X,Mid Y,Rotation,Layer
C1,7.493,4.495,270.0,top
C2,14.605,4.495,90.0,top
C3,7.25,16.8,0.0,top
C4,7.747,11.05,90.0,top
C5,13.2,20.35,270.0,top
C6,11.049,11.05,90.0,top
D1,18.854,19.443,180.0,top
D2,18.854,10.603,0.0,top
IC1,11.049,4.495,0.0,top
J1,1.75,14.975,0.0,top
LED1,18.854,15.0,270.0,top
U1,11.45,15.0,0.0,top
