Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5",0805,3,1µF,
C3,0805,1,10µF,
C4,0805,1,22µF,
C6,0805,1,0.1µF,
"D1, D2",SFH2704,2,SFH_2704,
IC1,SOT95P280X145-5N,1,LP5907MFX-1.8_NOPB,
J1,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,
LED1,SFH7018B,1,SFH_7018B,
TP3,TestPoint_Pad_D1.0mm,1,1V8,
TP4,TestPoint_Pad_D1.0mm,1,GND,
U1,21-100134A_20_MXM,1,MAX86141ENP+,
